Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
FBS,New Food Balances,100,India,674,Protein supply quantity (g/capita/day),2907,Starchy Roots,2016,2016,g/capita/day,1.11,Fc,Calculated data
FBS,New Food Balances,100,India,674,Protein supply quantity (g/capita/day),2907,Starchy Roots,2017,2017,g/capita/day,1.17,Fc,Calculated data
FBS,New Food Balances,100,India,684,Fat supply quantity (g/capita/day),2907,Starchy Roots,2014,2014,g/capita/day,0.09,Fc,Calculated data
FBS,New Food Balances,100,India,684,Fat supply quantity (g/capita/day),2907,Starchy Roots,2015,2015,g/capita/day,0.09,Fc,Calculated data
FBS,New Food Balances,100,India,684,Fat supply quantity (g/capita/day),2907,Starchy Roots,2016,2016,g/capita/day,0.08,Fc,Calculated data
FBS,New Food Balances,100,India,684,Fat supply quantity (g/capita/day),2907,Starchy Roots,2017,2017,g/capita/day,0.09,Fc,Calculated data
FBS,New Food Balances,100,India,5142,Food,2908,Sugar Crops,2014,2014,1000 tonnes,0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,New Food Balances,100,India,5142,Food,2908,Sugar Crops,2015,2015,1000 tonnes,0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,New Food Balances,100,India,5142,Food,2908,Sugar Crops,2016,2016,1000 tonnes,0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,New Food Balances,100,India,645,Food supply quantity (kg/capita/yr),2908,Sugar Crops,2014,2014,kg,0,Fc,Calculated data
FBS,New Food Balances,100,India,645,Food supply quantity (kg/capita/yr),2908,Sugar Crops,2015,2015,kg,0,Fc,Calculated data
FBS,New Food Balances,100,India,645,Food supply quantity (kg/capita/yr),2908,Sugar Crops,2016,2016,kg,0,Fc,Calculated data
FBS,New Food Balances,100,India,5142,Food,2909,Sugar & Sweeteners,2014,2014,1000 tonnes,27472,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,New Food Balances,100,India,5142,Food,2909,Sugar & Sweeteners,2015,2015,1000 tonnes,29637,A,"Aggregate, may include official, semi-official, estimated or calculated data"
