Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","New Food Balances","100","India","5511","Production","2946","Animal fats","2017","2017","1000 tonnes","249","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2949","Eggs","2014","2014","1000 tonnes","4119","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2949","Eggs","2015","2015","1000 tonnes","4324","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2949","Eggs","2016","2016","1000 tonnes","4565","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2949","Eggs","2017","2017","1000 tonnes","4850","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2948","Milk - Excluding Butter","2014","2014","1000 tonnes","146527","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2948","Milk - Excluding Butter","2015","2015","1000 tonnes","155694","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2948","Milk - Excluding Butter","2016","2016","1000 tonnes","165334","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2948","Milk - Excluding Butter","2017","2017","1000 tonnes","176275","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2960","Fish, Seafood","2014","2014","1000 tonnes","9862","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2960","Fish, Seafood","2015","2015","1000 tonnes","10100","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2960","Fish, Seafood","2016","2016","1000 tonnes","10760","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2960","Fish, Seafood","2017","2017","1000 tonnes","11606","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2961","Aquatic Products, Other","2014","2014","1000 tonnes","31","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2961","Aquatic Products, Other","2015","2015","1000 tonnes","25","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2961","Aquatic Products, Other","2016","2016","1000 tonnes","24","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2961","Aquatic Products, Other","2017","2017","1000 tonnes","26","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2928","Miscellaneous","2014","2014","1000 tonnes","70","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2928","Miscellaneous","2015","2015","1000 tonnes","66","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2928","Miscellaneous","2016","2016","1000 tonnes","70","A","Aggregate, may include official, semi-official, estimated or calculated data"
"FBS","New Food Balances","100","India","5511","Production","2928","Miscellaneous","2017","2017","1000 tonnes","83","A","Aggregate, may include official, semi-official, estimated or calculated data"
